id,batsman,bowler,runs
2619,SC Ganguly,JDP Oram,4
2622,WP Saha,MS Gony,4
2634,WP Saha,MS Gony,4
2635,WP Saha,MS Gony,6
2669,WP Saha,P Amarnath,4
2670,WP Saha,P Amarnath,4
2671,WP Saha,P Amarnath,4
2678,LR Shukla,JDP Oram,4
2680,LR Shukla,Joginder Sharma,4
2681,LR Shukla,Joginder Sharma,4
2692,PA Patel,AB Dinda,4
2701,ML Hayden,AB Dinda,4
2708,PA Patel,I Sharma,4
2714,PA Patel,AB Dinda,4
2717,ML Hayden,AB Dinda,4
2720,ML Hayden,AB Agarkar,4
2721,ML Hayden,AB Agarkar,4
2729,ML Hayden,DJ Hussey,6
2734,ML Hayden,Mohammad Hafeez,6
2741,ML Hayden,AB Agarkar,4
2758,LR Shukla,JDP Oram,4
2769,Mohammad Hafeez,P Amarnath,4
2773,AB Agarkar,P Amarnath,4
2782,LR Shukla,Joginder Sharma,6
2801,MS Dhoni,M Kartik,4
2811,MS Dhoni,M Kartik,6
2819,MS Dhoni,LR Shukla,4
2820,MS Dhoni,LR Shukla,4
2825,ML Hayden,I Sharma,6
2829,ML Hayden,M Kartik,4
2835,MS Dhoni,M Kartik,6
2846,L Ronchi,DNT Zoysa,4
2858,L Ronchi,DNT Zoysa,4
2866,RV Uthappa,Shahid Afridi,4
2877,ST Jayasuriya,DNT Zoysa,4
2878,SM Pollock,PP Ojha,4
2892,ST Jayasuriya,PP Ojha,4
2910,SM Pollock,D Kalyankrishna,4
2916,L Ronchi,RP Singh,4
2920,AC Gilchrist,A Nehra,4
2921,AC Gilchrist,A Nehra,4
2926,AC Gilchrist,SM Pollock,4
2930,VVS Laxman,SM Pollock,4
2932,AC Gilchrist,A Nehra,4
2935,VVS Laxman,A Nehra,4
2939,AC Gilchrist,DS Kulkarni,4
2940,AC Gilchrist,DS Kulkarni,4
2947,AC Gilchrist,ST Jayasuriya,6
2949,AC Gilchrist,SD Chitnis,4
2952,AC Gilchrist,SD Chitnis,6
2958,AC Gilchrist,SM Pollock,6
2959,AC Gilchrist,SM Pollock,6
2960,AC Gilchrist,SM Pollock,4
2961,AC Gilchrist,SM Pollock,6
2964,VVS Laxman,DJ Bravo,4
2967,AC Gilchrist,DJ Bravo,6
2972,AC Gilchrist,ST Jayasuriya,4
2976,AC Gilchrist,AM Nayar,6
2977,AC Gilchrist,AM Nayar,6
2981,AC Gilchrist,AM Nayar,6
2985,AC Gilchrist,DJ Bravo,6
2988,VVS Laxman,DJ Bravo,6
2997,SM Pollock,SB Bangar,4
2998,SM Pollock,SB Bangar,6
3000,DJ Bravo,SB Bangar,4
3004,AM Nayar,D Kalyankrishna,4
3007,AM Nayar,D Kalyankrishna,6
3013,AM Nayar,Shahid Afridi,6
3017,AM Nayar,DNT Zoysa,6
3024,DJ Bravo,Shahid Afridi,6
3030,DJ Bravo,SB Bangar,4
3031,DJ Bravo,SB Bangar,4
3037,MA Khote,RP Singh,4
3040,VVS Laxman,SD Chitnis,4
3051,SM Katich,Mohammad Asif,4
3057,Yuvraj Singh,Shoaib Malik,4
3060,SM Katich,MF Maharoof,4
3068,SM Katich,Shoaib Malik,6
3077,SM Katich,MF Maharoof,4
3079,Yuvraj Singh,MF Maharoof,6
3095,Yuvraj Singh,GD McGrath,6
3100,Yuvraj Singh,VY Mahesh,4
3105,IK Pathan,Mohammad Asif,4
3110,IK Pathan,Mohammad Asif,4
3121,V Sehwag,B Lee,4
3133,Shoaib Malik,B Lee,4
3138,G Gambhir,IK Pathan,4
3139,G Gambhir,IK Pathan,4
3143,Shoaib Malik,S Sreesanth,4
3147,G Gambhir,S Sreesanth,4
3151,Shoaib Malik,VRV Singh,4
3161,MK Tiwary,PP Chawla,4
3176,KD Karthik,VRV Singh,4
3180,KD Karthik,PP Chawla,6
3184,MK Tiwary,PP Chawla,4
3187,KD Karthik,Yuvraj Singh,4
3193,MK Tiwary,PP Chawla,4
3208,MK Tiwary,B Lee,4
3214,R Bhatia,S Sreesanth,6
3215,R Bhatia,S Sreesanth,4
3226,MK Tiwary,VRV Singh,4
3227,MK Tiwary,VRV Singh,4
3232,MF Maharoof,B Lee,4
3235,MF Maharoof,B Lee,4
3252,KC Sangakkara,Mohammad Asif,4
3256,SM Katich,GD McGrath,4
3257,SM Katich,GD McGrath,4
3263,SM Katich,Mohammad Asif,4
3264,SM Katich,Mohammad Asif,4
3265,SM Katich,Mohammad Asif,4
3270,SM Katich,GD McGrath,4
3271,SM Katich,GD McGrath,4
3273,DPMD Jayawardene,MF Maharoof,4
3277,DPMD Jayawardene,MF Maharoof,4
3281,SM Katich,VY Mahesh,4
3285,Yuvraj Singh,Shoaib Malik,4
3300,SK Raina,B Akhil,6
3309,SK Raina,B Akhil,4
3316,SK Raina,P Kumar,6
3324,PA Patel,P Kumar,6
3333,MS Dhoni,DW Steyn,4
3334,MS Dhoni,DW Steyn,4
3337,MEK Hussey,B Akhil,6
3338,MEK Hussey,B Akhil,6
3344,MEK Hussey,JH Kallis,4
3346,MEK Hussey,JH Kallis,4
3348,MS Dhoni,JH Kallis,6
3352,MS Dhoni,P Kumar,4
3356,MS Dhoni,DW Steyn,4
3357,MS Dhoni,DW Steyn,4
3358,MS Dhoni,DW Steyn,6
3375,ML Hayden,Z Khan,4
3377,PA Patel,Z Khan,4
3390,ML Hayden,Z Khan,4
3399,MEK Hussey,Z Khan,4
3401,PA Patel,Z Khan,4
3405,LRPL Taylor,MS Gony,6
3410,LRPL Taylor,JA Morkel,4
3414,W Jaffer,P Amarnath,4
3418,W Jaffer,P Amarnath,4
3423,LRPL Taylor,JA Morkel,4
3426,W Jaffer,JA Morkel,6
3428,W Jaffer,Joginder Sharma,6
3437,W Jaffer,P Amarnath,4
3439,JH Kallis,Joginder Sharma,4
3446,JH Kallis,P Amarnath,4
3453,LRPL Taylor,JA Morkel,6
3469,V Kohli,P Amarnath,4
3475,V Kohli,MS Gony,4
3480,MS Dhoni,DW Steyn,4
3481,MS Dhoni,DW Steyn,4
3484,MS Dhoni,Z Khan,4
3485,MS Dhoni,Z Khan,6
3486,MS Dhoni,Z Khan,4
3500,B Chipli,MS Gony,4
3512,W Jaffer,MS Gony,4
3516,LRPL Taylor,JDP Oram,6
3520,LRPL Taylor,JDP Oram,4
3523,W Jaffer,MS Gony,4
3525,Z Khan,JDP Oram,4
3541,RT Ponting,CRD Fernando,4
3551,DJ Hussey,ST Jayasuriya,4
3553,DJ Hussey,SM Pollock,4
3557,DJ Hussey,SM Pollock,4
3576,LR Shukla,DJ Bravo,4
3579,LR Shukla,DJ Bravo,4
3595,LR Shukla,DJ Bravo,6
3596,M Kartik,CRD Fernando,4
3598,LR Shukla,CRD Fernando,6
3614,SC Ganguly,SM Pollock,4
3621,DB Das,A Nehra,4
3622,DB Das,A Nehra,4
3629,DB Das,SM Pollock,6
3634,DB Das,CRD Fernando,4
3636,DB Das,CRD Fernando,4
3640,DB Das,DS Kulkarni,4
3650,RV Uthappa,I Sharma,4
3654,DJ Bravo,I Sharma,4
3668,DJ Bravo,Mohammad Hafeez,4
3673,RV Uthappa,Mohammad Hafeez,4
3677,RV Uthappa,M Kartik,4
3689,DJ Bravo,M Kartik,4
3691,DJ Bravo,M Kartik,6
3693,DJ Bravo,M Kartik,4
3695,DJ Bravo,SC Ganguly,4
3709,RV Uthappa,AB Agarkar,4
3713,DJ Bravo,LR Shukla,4
3715,RV Uthappa,LR Shukla,4
3731,LR Shukla,CRD Fernando,4
3734,LR Shukla,CRD Fernando,4
3744,AM Rahane,AB Agarkar,4
3746,ST Jayasuriya,I Sharma,4
3748,ST Jayasuriya,I Sharma,6
3760,ST Jayasuriya,I Sharma,4
3761,ST Jayasuriya,I Sharma,4
3766,DJ Bravo,AB Dinda,4
3774,DJ Bravo,I Sharma,4
3785,R Dravid,DL Vettori,4
3795,R Dravid,VY Mahesh,4
3797,R Dravid,R Bhatia,4
3798,R Dravid,R Bhatia,4
3800,JH Kallis,R Bhatia,4
3804,JH Kallis,VY Mahesh,4
3808,JH Kallis,VY Mahesh,4
3819,JH Kallis,V Sehwag,6
3831,MV Boucher,GD McGrath,4
3839,JH Kallis,Mohammad Asif,4
3840,JH Kallis,Mohammad Asif,4
3845,R Dravid,Shoaib Malik,6
3852,JH Kallis,Mohammad Asif,4
3865,G Gambhir,Z Khan,4
3866,G Gambhir,Z Khan,4
3867,G Gambhir,Z Khan,4
3871,G Gambhir,DW Steyn,4
3873,G Gambhir,DW Steyn,4
3875,V Sehwag,Z Khan,6
3876,V Sehwag,Z Khan,4
3877,V Sehwag,Z Khan,4
3883,V Sehwag,DW Steyn,4
3892,S Dhawan,P Kumar,4
3895,S Dhawan,R Vinay Kumar,4
3896,S Dhawan,R Vinay Kumar,4
3911,G Gambhir,R Vinay Kumar,4
3913,G Gambhir,R Vinay Kumar,4
3918,S Dhawan,JH Kallis,6
3925,S Dhawan,V Kohli,4
3930,G Gambhir,Z Khan,4
